candidate_id	event_id	field	reason_codes
hced-Huj1917-1	hced_hced_huj1917_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Huon Peninsula1943-1	hced_hced_huon_peninsula1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Huon Peninsula1943-1	hced_hced_huon_peninsula1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Illig1904-1	hced_wave8_somali_irish_sa_hced_illig1904_1	modern_location_country	reviewed_modern_jurisdiction_mismatch
hced-Issus-333-1	hced_label_hced_issus_333_1	geometry	uncertain_battle_site_and_coordinate_mismatch
hced-Iwo Jima1945-1	hced_hced_iwo_jima1945_1	geometry	country_distribution_outlier_pending_human_review
hced-Iwo Jima1945-1	hced_hced_iwo_jima1945_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Java Sea1941-1942-1	hced_hced_java_sea1941_1942_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Kagul Lagoon1574-1	hced_label_hced_kagul_lagoon1574_1	geometry	duplicate_coordinate_semantic_mismatch
hced-Kagul Lagoon1574-1	hced_label_hced_kagul_lagoon1574_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Kagul1770-1	hced_hced_kagul1770_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Komandorski Islands1943-1	hced_hced_komandorski_islands1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Komandorski Islands1943-1	hced_hced_komandorski_islands1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Kota Bharu1941-1	hced_hced_kota_bharu1941_1	geometry	country_distribution_outlier_pending_human_review
hced-Kota Bharu1941-1	hced_hced_kota_bharu1941_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Kumanovo1912-1	hced_label_hced_kumanovo1912_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-La Maddalena1793-1	hced_wave8_fast17_hced_la_maddalena1793_1	modern_location_country	reviewed_modern_jurisdiction_mismatch
hced-Lake Prespa1917-1	hced_hced_lake_prespa1917_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Lizard1707-1	hced_hced_lizard1707_1	geometry	country_distribution_outlier_pending_human_review
hced-Lizard1707-1	hced_hced_lizard1707_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Mariana Islands1944-1	hced_hced_mariana_islands1944_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Mitla Pass1956-1	hced_label_hced_mitla_pass1956_1	geometry	country_distribution_outlier_pending_human_review
